cmd,speed,acc
45.0,8.200000000000001,5.5223446
50.0,8.200000000000001,5.5224247
55.0,8.200000000000001,5.5223656
60.0,8.200000000000001,5.52232
65.0,8.200000000000001,5.5222855
70.0,8.200000000000001,5.522249
75.0,8.200000000000001,5.522215
80.0,8.200000000000001,5.5221786
0.0,8.4,5.522148
5.0,8.4,5.5221157
10.0,8.4,5.522087
15.0,8.4,5.5220604
20.0,8.4,5.5220356
25.0,8.4,5.522011
30.0,8.4,5.521988
35.0,8.4,5.521965
40.0,8.4,5.5219536
45.0,8.4,5.5219727
50.0,8.4,5.5220394
55.0,8.4,5.5220413
60.0,8.4,5.691761
65.0,8.4,5.670429
70.0,8.4,5.660385
75.0,8.4,5.664381
80.0,8.4,5.6641026
0.0,8.6,5.6640415
5.0,8.6,5.664131
10.0,8.6,5.664158
15.0,8.6,5.6641865
20.0,8.6,5.6642227
25.0,8.6,5.6642513
30.0,8.6,5.6642838
35.0,8.6,5.6643105
40.0,8.6,5.664339
45.0,8.6,5.664366
50.0,8.6,5.6643925
55.0,8.6,5.6644173
60.0,8.6,5.664446
65.0,8.6,5.6644707
70.0,8.6,5.6644974
75.0,8.6,5.664524
80.0,8.6,5.6645603
0.0,8.8,5.6646233
5.0,8.8,5.664707
10.0,8.8,5.66477
15.0,8.8,5.8049355
20.0,8.8,5.7905426
25.0,8.8,5.7830677
30.0,8.8,5.785713
35.0,8.8,5.7856503
40.0,8.8,5.785719
45.0,8.8,5.7858295
50.0,8.8,5.7859097
55.0,8.8,5.785988
60.0,8.8,5.786068
65.0,8.8,5.7861404
70.0,8.8,5.786211
75.0,8.8,5.7862835
80.0,8.8,5.7863503
0.0,9.0,5.786413
5.0,9.0,5.786478
10.0,9.0,5.786537
15.0,9.0,5.786598
20.0,9.0,5.7866592
25.0,9.0,5.7867203
30.0,9.0,5.786783
35.0,9.0,5.786852
40.0,9.0,5.7869473
45.0,9.0,5.7870426
50.0,9.0,5.7871284
55.0,9.0,5.902294
60.0,9.0,5.8925686
65.0,9.0,5.887192
70.0,9.0,5.888977
75.0,9.0,5.8890285
80.0,9.0,5.8891697
0.0,9.200000000000001,5.8892994
5.0,9.200000000000001,5.88941
10.0,9.200000000000001,5.889517
15.0,9.200000000000001,5.8896236
20.0,9.200000000000001,5.8897247
25.0,9.200000000000001,5.889822
30.0,9.200000000000001,5.8899136
35.0,9.200000000000001,5.890007
40.0,9.200000000000001,5.890093
45.0,9.200000000000001,5.8901806
50.0,9.200000000000001,5.8902626
55.0,9.200000000000001,5.8903446
60.0,9.200000000000001,5.8904266
65.0,9.200000000000001,5.8905087
70.0,9.200000000000001,5.8905926
75.0,9.200000000000001,5.890686
80.0,9.200000000000001,5.8908024
0.0,9.4,5.890909
5.0,9.4,5.8910084
10.0,9.4,5.98526
15.0,9.4,5.9785748
20.0,9.4,5.9748173
25.0,9.4,5.9760666
30.0,9.4,5.976179
35.0,9.4,5.9763565
40.0,9.4,5.9764977
45.0,9.4,5.9766235
50.0,9.4,5.9767494
55.0,9.4,5.9768696
60.0,9.4,5.976984
65.0,9.4,5.9770947
70.0,9.4,5.9771996
75.0,9.4,5.9773045
80.0,9.4,5.9774055
0.0,9.600000000000001,5.977501
5.0,9.600000000000001,5.977598
10.0,9.600000000000001,5.9776917
15.0,9.600000000000001,5.977785
20.0,9.600000000000001,5.9778824
25.0,9.600000000000001,5.9779816
30.0,9.600000000000001,5.9780903
35.0,9.600000000000001,5.978222
40.0,9.600000000000001,5.97834
45.0,9.600000000000001,5.978441
50.0,9.600000000000001,-2.7271767
55.0,9.600000000000001,3.2046528
60.0,9.600000000000001,0.51130295
65.0,9.600000000000001,1.3690605
70.0,9.600000000000001,1.357235
75.0,9.600000000000001,1.2696686
80.0,9.600000000000001,1.4314041
0.0,9.8,1.4097443
5.0,9.8,1.4683609
10.0,9.8,1.5055237
15.0,9.8,1.5426178
20.0,9.8,1.5885544
25.0,9.8,1.6321716
30.0,9.8,1.6804008
35.0,9.8,1.730278
40.0,9.8,1.7820759
45.0,9.8,1.8356743
50.0,9.8,1.8903999
55.0,9.8,1.9461555
60.0,9.8,2.002697
65.0,9.8,2.059658
70.0,9.8,2.1148338
75.0,9.8,2.1625214
80.0,9.8,2.195095
0.0,10.0,2.289732
5.0,10.0,3.0576973
10.0,10.0,2.5741901
15.0,10.0,2.8311386
20.0,10.0,2.7504044
25.0,10.0,2.727728
30.0,10.0,2.7366772
35.0,10.0,2.7099857
40.0,10.0,2.7039604
45.0,10.0,2.693264
50.0,10.0,2.6826515
55.0,10.0,2.674631
60.0,10.0,2.666088
65.0,10.0,2.6586685
70.0,10.0,2.6518517
75.0,10.0,2.6455688
80.0,10.0,2.6399498
